,Stock Name,Price 6/27/2016,Price 6/28/2016,%Change
456,"""HGSH""",1.75,1.812,3.542857143
457,"""CIH""",265,265,0
458,"""CJJD""",1.66,1.83,10.24096386
459,"""CHNR""",1.31,1.335,1.908396947
460,"""CREG""",2.407,2.3,-4.445367678
461,"""CXDC""",3.26,3.36,3.067484663
462,"""PLIN""",3690,3590,-2.7100271
463,"""CNET""",0.563,0.583,3.552397869
464,"""IMOS""",17.93,18.29,2.007808143
465,"""CDXC""",3.14,3.29,4.777070064
466,"""CHSCL""",28.14,28.32,0.639658849
467,"""CHSCM""",27.91,27.82,-0.322465066
468,"""CHSCN""",29.68,28.94,-2.493261456
469,"""CHSCO""",28.4,28.47,0.246478873
470,"""CHSCP""",32.77,33.09,0.976502899
471,"""CHDN""",121,120.87,-0.107438017
472,"""CHUY""",33.72,34.23,1.512455516
473,"""CDTX""",9.76,10.37,6.25
474,"""CMCT""",18.092,17.75,-1.890338271
475,"""CMPR""",90.49,89.1,-1.536081335
476,"""CINF""",69.46,71.44,2.850561474
477,"""CIDM""",1.25,1.25,0
478,"""CTAS""",91.63,93.29,1.811633744
479,"""CRUS""",36.39,37.82,3.929651003
480,"""CSCO""",27.31,27.79,1.757597949
481,"""CTRN""",15.39,15.25,-0.909681611
482,"""CTXR""",12,0.78,-93.5
483,"""CZNC""",20.24,20.19,-0.247035573
484,"""CZWI""",10.65,10.59,-0.563380282
485,"""CIZN""",21.28,21.316,0.169172932
486,"""CTXS""",77.02,79.25,2.895351857
487,"""CHCO""",43.06,43.7,1.486298189
488,"""CIVB""",12.59,12.939,2.772041303
489,"""CIVBP""",39.5,39.5,0
490,"""CLAR""",4.02,4.13,2.736318408
491,"""CLNE""",3.07,3.43,11.72638436
492,"""CLFD""",17.39,17.69,1.725129385
493,"""CLRO""",10.91,10.92,0.091659028
494,"""CLSD""",7,6.91,-1.285714286
495,"""CLIR""",5.1,5.19,1.764705882
496,"""CBLI""",2.63,3.14,19.39163498
497,"""CLVS""",11.57,12.355,6.784788245
498,"""CME""",92.97,94.22,1.344519738
499,"""CCNE""",17.22,17.29,0.406504065
500,"""CCB""",1.5,1.5,0
501,"""COKE""",141.09,140.03,-0.751293501
502,"""COCP""",0.45,0.46,2.222222222
503,"""CODA""",0.14,0.15,7.142857143
504,"""CDXS""",3.95,3.87,-2.025316456
505,"""CVLY""",19.9,20.01,0.552763819
506,"""JVA""",4.979,5.22,4.840329383
507,"""CCOI""",37.09,38.04,2.561337288
508,"""CGNX""",38.87,40.54,4.296372524
509,"""CTSH""",55.48,56,0.937274694
510,"""CWBR""",2.258,2.102,-6.908768822
511,"""COHR""",86.62,86.52,-0.115446779
512,"""CHRS""",14.13,15.64,10.68648266
513,"""COHU""",10.51,10.52,0.095147479
514,"""CLCT""",18.41,19.28,4.725692558
515,"""COLL""",11.67,12.22,4.71293916
516,"""CIGI""",33.34,33.43,0.269946011
517,"""CBAN""",9.4,9.4,0
518,"""COLB""",26.28,26.95,2.549467275
519,"""COLM""",54.77,54.86,0.164323535
520,"""CMCO""",14.13,13.93,-1.415428167
521,"""CMCSA""",62.46,63.07,0.97662504
522,"""CBSH""",44.84,45.91,2.386262266
523,"""CBSHP""",27.44,27.5,0.218658892
524,"""CVGI""",4.73,5.13,8.456659619
525,"""COMM""",28.52,29.01,1.718092567
526,"""JCS""",7.15,6.973,-2.475524476
527,"""ESXB""",5.05,5.13,1.584158416
528,"""CTBI""",33.1,33.33,0.694864048
529,"""CWBC""",7.35,7.27,-1.088435374
530,"""CVLT""",41.81,42.61,1.913417843
531,"""CGEN""",6.42,6.54,1.869158879
532,"""CPSI""",37.85,38.04,0.501981506
533,"""CTG""",4.97,4.95,-0.402414487
534,"""SCOR""",29.4,23.825,-18.96258503
535,"""CHCI""",1.79,1.78,-0.558659218
536,"""CMTL""",11.34,11.74,3.527336861
537,"""CNAT""",2,2.03,1.5
538,"""CNCE""",10.58,11.01,4.064272212
539,"""CDOR""",1.95,12.7451,553.5948718
540,"""CFMS""",6.24,6.43,3.044871795
541,"""CNFR""",6.63,6.66,0.452488688
542,"""CNMD""",43.95,44.5,1.251422071
543,"""CNOB""",15.12,15.14,0.132275132
544,"""CONN""",6.87,7.32,6.550218341
545,"""CNSL""",25.2,25.67,1.865079365
546,"""CWCO""",12.88,12.93,0.388198758
547,"""ROAD""",6.29,6.29,0
548,"""CPSS""",3.33,3.58,7.507507508
549,"""CFRX""",2.89,2.89,0
550,"""CPRT""",46.46,46.73,0.581145071
551,"""CRBP""",2.9,3,3.448275862
552,"""CORT""",5.11,5.33,4.305283757
553,"""CORE""",90.49,44.82,-50.46966516
554,"""CSOD""",36.63,36.49,-0.382200382
555,"""CORV""",4.88,5.01,2.663934426
556,"""CLDB""",14.6,14.9,2.054794521
557,"""CRVL""",42.83,43.3,1.097361662
558,"""CRVS""",13.35,13.96,4.56928839
559,"""CSGP""",202.38,204.98,1.284711928
560,"""COST""",154.26,155.6,0.868663296
561,"""CPAH""",2.38,2.4,0.840336134
562,"""ICBK""",19.42,20.01,3.038105046
563,"""CVTI""",16.82,16.69,-0.772889417
564,"""COWN""",2.73,2.92,6.95970696
565,"""PMTS""",4.48,4.69,4.6875
566,"""CPSH""",1.65,1.5,-9.090909091
567,"""CRAI""",23.68,23.41,-1.140202703
568,"""CBRL""",168.23,169.54,0.778695833
569,"""BREW""",9.7,9.87,1.75257732
570,"""CACC""",170.03,175.66,3.31118038
571,"""DGLD""",43.36,44.89,3.528597786
572,"""DSLV""",27.92,27.765,-0.555157593
573,"""GLDI""",10.79,10.79,0
574,"""SLVO""",10.352,10.386,0.328438949
575,"""TVIX""",0.001,0.001,0
576,"""UGLD""",13.66,13.19,-3.440702782
